arrival_id,date,mandi_id,crop_name,variety,arrival_qtl,unit,farmer_count,is_negative_anomaly
ARR0012424,2026-06-04,MANDI026,Wheat,Hybrid,448.41,Qtl,128.0,False
ARR0008271,2026-06-02,MANDI014,Wheat,HD-2967,332.54,Qtl,33.0,False
ARR0022724,2026-08-16,MANDI056,Wheat,HD-2967,415.88,Qtl,148.0,False
ARR0012573,2026-06-24,MANDI019,Maize,Common,1.0713,Qtl,112.0,True
ARR0012098,2026-09-08,MANDI050,Maize,Premium,331.59,Qtl,116.0,True
ARR0013701,2026-03-31,MANDI049,Sugarcane,Local,119.93,Qtl,105.0,False
ARR0010753,2026-10-07,MANDI054,Cotton,HD-2967,187.68,Qtl,45.0,False
ARR0022123,2026-07-15,MANDI045,Mustard,Hybrid,393.67,Qtl,24.0,False
ARR0003275,2026-04-08,MANDI029,Mustard,PBW-343,14.84,Qtl,129.0,False
ARR0002542,2026-08-14,MANDI010,Mustard,Pusa-1121,93.28,Qtl,109.0,False
ARR0016719,2026-05-25,MANDI044,Maize,PBW-343,38.37,Qtl,80.0,False
ARR0019527,2026-02-08,MANDI042,Maize,HD-2967,170.77,Qtl,26.0,False
ARR0009636,2026-03-31,MANDI056,Maize,HD-2967,37.3,Qtl,13.0,False
ARR0010366,2026-01-16,MANDI011,Sugarcane,Pusa-1121,44.83,Qtl,65.0,False
ARR0005837,2026-06-27,MANDI025,Wheat,Common,454.74,Qtl,162.0,False
ARR0002387,2026-01-18,MANDI050,Sugarcane,HD-2967,15.18,Qtl,5.0,False
ARR0024112,2026-08-09,MANDI006,Mustard,Common,34.63,Qtl,102.0,False
ARR0010546,2026-01-09,MANDI039,Wheat,Common,415.77,Qtl,139.0,False
ARR0002154,2026-03-20,MANDI001,Rice,HD-2967,396.46,Qtl,61.0,False
ARR0020380,2026-06-03,MANDI028,Mustard,Pusa-1121,99.87,Qtl,35.0,False
ARR0021641,2026-08-15,MANDI045,Mustard,HD-2967,391.19,Qtl,41.0,False
ARR0004098,2026-03-25,MANDI027,Cotton,Pusa-1121,111.01,Qtl,137.0,False
ARR_RESCUE_00001,2026-06-18,MANDI026,Maize,Pusa-1121,264.38,Qtl,96.0,False
ARR0006088,2026-08-12,MANDI019,Sugarcane,HD-2967,373.93,Qtl,121.0,False
ARR0021143,2026-04-30,MANDI024,Mustard,Premium,70.49,Qtl,7.0,False
ARR0019959,2026-08-21,MANDI022,Maize,PBW-343,383.43000000000006,Qtl,85.0,False
ARR0001442,2026-05-31,MANDI044,Rice,Local,113.89,Qtl,97.0,False
ARR0004480,2026-08-04,MANDI045,Wheat,Local,159.1,Qtl,102.0,False
ARR0021197,2026-08-28,MANDI021,Sugarcane,Hybrid,197.48,Qtl,69.0,False
ARR0020628,2026-06-12,MANDI012,Sugarcane,PBW-343,350.53,Qtl,71.0,False
ARR0001665,2026-07-30,MANDI055,Rice,Local,406.67,Qtl,148.0,False
ARR0002938,2026-07-04,MANDI016,Wheat,Common,162.36,Qtl,114.0,False
ARR0019350,2026-03-25,MANDI001,Wheat,Premium,190.73000000000002,Qtl,68.0,False
ARR0020205,2026-07-05,MANDI037,Maize,Hybrid,73.47,Qtl,17.0,False
ARR0015292,2026-07-15,MANDI037,Wheat,PBW-343,0.36,Qtl,53.0,False
ARR0019616,2026-10-04,MANDI008,Maize,Hybrid,82.61,Qtl,29.0,False
ARR0022884,2026-12-05,MANDI047,Maize,Common,194.32,Qtl,33.0,False
ARR0003230,2026-04-03,MANDI051,Mustard,PBW-343,380.55,Qtl,6.0,False
ARR0003266,2026-04-24,MANDI023,Sugarcane,Common,97.11,Qtl,17.0,False
ARR0023966,2026-03-03,MANDI017,Mustard,PBW-343,159.99,Qtl,125.0,False
ARR0017190,2026-01-08,MANDI002,Cotton,PBW-343,0.22,Qtl,73.0,False
ARR0003048,2026-01-24,MANDI016,Cotton,Premium,78.45,Qtl,54.0,False
ARR0013641,2026-03-18,MANDI018,Mustard,Premium,342.39,Qtl,143.0,False
ARR0019876,2026-07-12,MANDI054,Rice,Common,322.27,Qtl,127.0,False
ARR0018787,2026-08-08,MANDI044,Rice,Pusa-1121,336.73,Qtl,69.0,False
ARR0020778,2026-08-03,MANDI024,Mustard,HD-2967,127.9,Qtl,113.0,False
ARR0002765,2026-02-28,MANDI013,Mustard,Premium,361.74,Qtl,62.0,False
ARR0014145,2026-01-31,MANDI006,Sugarcane,Pusa-1121,469.92,Qtl,18.0,False
ARR0023854,2026-06-05,MANDI007,Sugarcane,Common,1.7705000000000002,Qtl,46.0,True
ARR0012859,2026-03-20,MANDI057,Cotton,PBW-343,341.2900000000001,Qtl,118.0,False
ARR0023766,2026-02-02,MANDI025,Rice,HD-2967,175.88,Qtl,88.0,False
ARR0009572,2026-10-05,MANDI041,Maize,Premium,176.03000000000003,Qtl,38.0,False
ARR0021131,2026-04-24,MANDI040,Maize,Hybrid,309.07,Qtl,146.0,False
ARR0022207,2026-03-25,MANDI027,Rice,HD-2967,472.36,Qtl,11.0,False
ARR0005385,2026-08-07,MANDI028,Cotton,Hybrid,126.77,Qtl,5.0,False
ARR0020517,2026-06-02,MANDI026,Wheat,PBW-343,284.92,Qtl,99.0,False
ARR0015213,2026-02-27,MANDI005,Rice,PBW-343,54.32,Qtl,122.0,False
ARR_RESCUE_00002,2026-02-04,MANDI031,Maize,Local,431.25,Qtl,60.0,False
ARR0010273,2026-03-06,MANDI021,Mustard,Common,200.26,Qtl,11.0,False
ARR0023476,2026-06-05,MANDI023,Mustard,PBW-343,312.23,Qtl,18.0,False
ARR0013815,2026-06-08,MANDI009,Maize,HD-2967,270.41,Qtl,83.0,False
ARR0023287,2026-02-08,MANDI003,Cotton,PBW-343,44.41,Qtl,127.0,False
ARR0016192,2026-07-03,MANDI023,Maize,Common,455.6,Qtl,59.0,False
ARR0011823,2026-01-13,MANDI004,Rice,HD-2967,60.33,Qtl,124.0,False
ARR0005816,2026-01-24,MANDI039,Sugarcane,PBW-343,158.3,Qtl,135.0,False
ARR0006030,2026-04-22,MANDI033,Cotton,HD-2967,0.43,Qtl,128.0,False
ARR0010009,2026-03-10,MANDI004,Rice,Common,291.4,Qtl,106.0,False
