record_id,date,mandi_id,district,crop_name,min_price,max_price,modal_price,msp,msp_gap,below_msp_flag
PR001650,2026-07-26,MANDI005,Amritsar,Cotton,6850.985817820893,7570.17,7210.58,6620.0,-590.5799999999999,0
PR000246,2026-07-17,MANDI028,Fatehabad,Cotton,6944.79,7654.18,7299.0,,,0
PR010091,2026-09-01,MANDI011,Jalandhar,Rice,1857.0,2013.18,1935.06,2183.0,247.94000000000005,1
PR000982,2026-05-24,MANDI012,Ferozepur,Maize,1873.34,1986.0,1930.0,2090.0,160.0,1
PR001708,2026-08-18,MANDI013,Karnal,Cotton,5878.62,6574.283051769212,6226.45,6620.0,393.5500000000002,1
PR004312,2026-01-24,MANDI001,Patiala,Cotton,,7324.58,,6620.0,,0
PR000288,2026-08-08,MANDI031,Hisar,Wheat,2270.14,2823.4429693584902,2546.79,2275.0,-271.78999999999996,0
PR002536,2026-01-06,MANDI036,Kurukshetra,Wheat,1961.63,2340.0,2151.0,2275.0,124.0,1
PR009427,2026-08-12,MANDI050,,Wheat,2277.53,2458.0,2367.64,2275.0,-92.63999999999987,0
PR003418,2026-09-02,MANDI011,Ambala,Sugarcane,3156.94,3890.02,,3500.0,,0
PR001250,2026-10-02,MANDI002,Ambala,Maize,1866.0,2193.0,2029.0,2090.0,61.0,1
PR008959,2026-06-24,MANDI057,Bareilly,Mustard,,6850.0,6290.0,5650.0,-640.0,0
PR004344,2026-04-14,MANDI040,Amritsar,Rice,1989.0202736774606,2138.04,2063.53,2183.0,119.4699999999998,1
PR008040,2026-06-25,MANDI053,Ludhiana,Wheat,2016.0,2300.0,2158.4,2275.0,116.59999999999991,1
PR002773,2026-06-04,MANDI050,Ambala,Sugarcane,3391.89,4215.91,3804.0,3500.0,-304.0,0
PR007582,2026-01-24,MANDI043,Ferozepur,Rice,,2521.03,2303.861807881144,2183.0,-120.86180788114416,0
PR001390,2026-06-17,MANDI026,Patiala,Sugarcane,3661.39,4282.71,3972.05,3500.0,-472.0500000000002,0
PR011220,2026-01-17,MANDI010,Bathinda,Cotton,6054.0,7147.5,6601.0,6620.0,19.0,1
PR008656,2026-03-26,MANDI005,Patiala,Rice,2172.99,2312.15,,,,0
PR000719,2026-04-29,MANDI038,Kurukshetra,Maize,1878.0,2114.21,,2090.0,,0
PR005849,2026-01-23,MANDI016,Patiala,Cotton,6473.0,7364.56,6918.61,6620.0,-298.6099999999997,0
PR007394,2026-03-25,MANDI024,Karnal,Sugarcane,3074.76,3382.79,3229.0,3500.0,271.0,1
PR004644,2026-05-25,MANDI026,Hisar,Mustard,5725.0,6263.77,5994.455824860666,5650.0,-344.4558248606663,0
PR002514,2026-07-21,MANDI007,Hisar,Maize,1988.4744912268284,2299.86,2144.167343486675,2090.0,-54.16734348667478,0
PR010213,2026-02-17,MANDI043,Jalandhar,Wheat,1958.0,2157.0,2057.3,2275.0,217.69999999999982,1
PR011212,2026-05-31,MANDI008,Amritsar,Sugarcane,3280.592160219738,4064.73,3672.66,3500.0,-172.65999999999985,0
PR011958,2026-02-04,MANDI015,Bathinda,Wheat,2215.53,2450.04,2332.79,2275.0,-57.789999999999964,0
PR002913,2026-08-08,MANDI027,Sirsa,Mustard,5826.290509325942,6273.0,6049.51,5650.0,-399.5100000000002,0
PR000358,2026-01-31,MANDI030,Ludhiana,Maize,1867.38,,1949.0,2090.0,141.0,1
PR008575,2026-07-20,MANDI019,Moga,Sugarcane,3509.61,4356.0,3932.8,,,0
PR010458,2026-01-10,MANDI015,Bathinda,Cotton,5627.0,6650.37,6138.929109845614,6620.0,481.0708901543858,1
PR000951,2026-06-25,MANDI056,Hisar,Rice,2226.17,2525.0,2376.0,2183.0,-193.0,0
PR002105,2026-01-20,MANDI039,Kurukshetra,Cotton,6155.47,6702.0,6428.56,6620.0,191.4399999999996,1
PR007951,2026-02-01,MANDI024,Kurukshetra,Maize,2174.42,2348.9471523051525,2262.0,,,0
PR001266,2026-04-25,MANDI019,Fatehabad,Sugarcane,3500.0,4245.0,3873.0,3500.0,-373.0,0
PR006089,2026-02-03,MANDI046,Ferozepur,Mustard,5142.95,5632.66,5387.81,5650.0,262.1899999999996,1
PR010862,2026-02-11,MANDI042,Ambala,Mustard,5493.827969524963,6761.44,6127.63,5650.0,-477.6300000000001,0
PR011617,2026-03-18,MANDI053,Bathinda,Maize,2009.38,2235.4,2122.39,,,0
PR001291,2026-08-03,MANDI046,Jalandhar,Rice,1867.54,2189.09,2028.32,2183.0,154.68000000000006,1
PR001377,2026-06-14,MANDI007,,Rice,1970.8,2447.0,2209.0,,,0
PR003954,2026-03-31,MANDI017,Kurukshetra,Rice,1971.7,2237.0,2104.0,2183.0,79.0,1
PR003093,2026-05-20,MANDI008,Ludhiana,Rice,1975.0,2358.74,2166.76,2183.0,16.23999999999978,1
PR000689,2026-02-04,MANDI054,,Wheat,2293.99,2786.0,2540.0,,,0
PR002359,2026-04-09,MANDI026,Hisar,Cotton,6497.0,7003.03,6749.79,6620.0,-129.78999999999996,0
PR004233,2026-01-29,MANDI049,,Rice,2082.58,,2270.31,2183.0,-87.30999999999995,0
PR009368,2026-04-05,MANDI014,Karnal,Cotton,6403.67,6871.07,6637.37,6620.0,-17.36999999999989,0
PR005203,2026-03-29,MANDI024,Ferozepur,Wheat,2124.53,2316.88,2220.7,2275.0,54.30000000000018,1
PR006235,2026-05-20,MANDI006,Hisar,Cotton,,7062.16,6842.78,,,0
PR011846,2026-09-05,MANDI031,Ambala,Wheat,2076.39,2414.63,2245.51,,,0
PR001340,2026-01-16,MANDI007,Jalandhar,Rice,1857.0,2122.46,1989.82,2183.0,193.18000000000006,1
PR008186,2026-01-25,MANDI019,Moga,Rice,2005.68,2112.51,2059.1,,,0
PR007070,2026-09-05,MANDI022,,Rice,2038.27,2509.7,2273.98,2183.0,-90.98000000000002,0
PR004775,2026-02-23,MANDI010,Jalandhar,Wheat,2097.0,2609.0,2353.0,2275.0,-78.0,0
PR006448,2026-02-20,MANDI035,Ludhiana,Maize,1881.78,2319.1,2100.44,,,0
PR003034,2026-01-29,MANDI055,Amritsar,Wheat,2375.39,2905.0,2640.12,2275.0,-365.1199999999999,0
PR002947,2026-05-13,MANDI011,Patiala,Cotton,6131.0,7320.96,6725.89,6620.0,-105.89000000000033,0
PR002729,2026-02-03,MANDI008,Karnal,Mustard,5787.16,6077.88,5932.52,5650.0,-282.52000000000044,0
PR007737,2026-02-20,MANDI012,Amritsar,Wheat,1964.0,2203.07,2083.63,2275.0,191.3699999999999,1
PR005676,2026-07-01,MANDI007,Fatehabad,Maize,1976.82,2419.0,2197.94,2090.0,-107.94000000000005,0
PR007093,2026-01-31,MANDI051,Saharanpur,Rice,2285.36,2595.15,,2183.0,,0
PR008805,2026-03-11,MANDI046,Ludhiana,Mustard,4820.0,5699.0,5259.53,5650.0,390.47000000000025,1
PR005981,2026-07-23,MANDI013,Kurukshetra,Wheat,2341.23,2517.0,2429.19,2275.0,-154.19000000000005,0
PR000060,2026-05-14,MANDI021,Ferozepur,Mustard,5811.32,6329.19,6070.26,5650.0,-420.2600000000002,0
PR001371,2026-04-06,MANDI030,Ferozepur,Cotton,5660.0,6087.83,5874.0,6620.0,746.0,1
PR003239,2026-03-01,MANDI024,Karnal,Rice,1872.0,2174.23,2023.3017368627486,2183.0,159.6982631372514,1
PR002056,2026-08-22,MANDI009,Ferozepur,Rice,1908.1409099896425,2009.0,1958.0,,,0
PR005252,2026-05-01,MANDI032,Jalandhar,Wheat,2151.86,2675.13,2413.49,,,0
PR009259,2026-06-01,MANDI055,,Sugarcane,3152.0,3337.0,3244.6003698960367,3500.0,255.39963010396332,1
PR002760,2026-02-15,MANDI036,Karnal,Cotton,6302.29,7206.81,6754.55,6620.0,-134.55000000000018,0
PR004003,2026-08-25,MANDI029,Kurukshetra,Sugarcane,3083.37,3315.0,3199.0,3500.0,301.0,1
PR008764,2026-05-31,MANDI039,Fatehabad,Cotton,6311.65,6815.97,6563.81,,,0
PR004575,2026-08-28,MANDI040,Ferozepur,Rice,2184.65,2619.32,2401.982891153114,2183.0,-218.982891153114,0
PR001751,2026-07-19,MANDI047,Ludhiana,Mustard,5637.61,,6334.03,,,0
PR001077,2026-07-22,MANDI038,Kurukshetra,Mustard,5178.312104348875,,5757.03,5650.0,-107.02999999999975,0
PR005404,2026-01-22,MANDI034,Sirsa,Maize,1786.3365949009074,1926.15,1856.24,2090.0,233.76,1
PR006339,2026-04-25,MANDI051,Karnal,Cotton,6696.62,7530.0,7113.15,6620.0,-493.14999999999964,0
PR009691,2026-05-11,MANDI010,Fatehabad,Sugarcane,3201.15,3361.389536195206,3281.27,3500.0,218.73000000000002,1
PR010145,2026-02-02,MANDI013,Kurukshetra,Wheat,2069.22,2309.0,2188.9685772991033,2275.0,86.03142270089666,1
PR001300,2026-08-02,MANDI046,Patiala,Maize,1918.0,2158.02,2038.25,2090.0,51.75,1
PR007631,2026-03-02,MANDI055,Bathinda,Wheat,2386.55,2953.19,2669.87,2275.0,-394.8699999999999,0
PR000891,2026-07-17,MANDI050,Amritsar,Sugarcane,3360.97,3721.24,3541.11,3500.0,-41.11000000000013,0
PR000564,2026-05-01,MANDI039,Hisar,Sugarcane,3448.28,4181.0,3814.67,3500.0,-314.6700000000001,0
PR000602,2026-05-29,MANDI009,Ambala,Rice,1924.0,2048.1,1986.0,2183.0,197.0,1
PR010104,2026-06-29,MANDI040,Karnal,Wheat,2287.5,2466.13,2376.82,2275.0,-101.82000000000016,0
PR000234,2026-03-06,MANDI046,Sirsa,Sugarcane,3421.0,3726.0,3573.51,3500.0,-73.51000000000022,0
