trip_id,mandi_id,destination_warehouse,departure_time,arrival_time,transit_hours,distance_km,vehicle_no,driver_id,is_negative_anomaly,delay_hours,is_delayed_flag
TRP006374,MANDI050,WH-Central,2026-04-30 20:08:22,2026-01-05 05:26:00,9.3,491.99862492888,,DRV264,0,-3.0,0
TRP008869,MANDI029,WH-West,2026-04-10 04:15:00,2026-10-04 09:51:00,4253.6,263.5,,DRV540,0,4247.01,1
TRP000674,MANDI024,WH-South,2026-07-18 16:34:00,2026-07-18 22:46:00,6.2,276.5,UP-50-BC-6882,DRV722,0,-0.71,0
TRP000036,MANDI042,WH-Central,2026-08-13 06:21:00,2026-08-14 00:00:00,19.7,1070.7,RJ-52-CD-3274,DRV103,0,-7.07,0
TRP008288,MANDI019,WH-South,2026-07-30 22:51:00,2026-07-31 15:57:00,17.1,728.9,DL-73-DF-1458,,0,-1.12,0
TRP003456,MANDI038,Export-Terminal,2026-07-25 20:53:00,2026-07-26 04:11:00,7.3,417.0,UP-97-BC-6135,DRV255,0,-3.12,0
TRP005236,MANDI041,WH-West,2026-07-05 07:34:30,2026-05-07 22:28:00,14.9,671.9,PB-99-BC-2796,DRV297,0,-1.9,0
TRP007075,MANDI023,WH-West,2026-06-19 00:00:00,2026-06-19 22:01:06,6.4,362.6,PB-48-DF-3590,,0,-2.67,0
TRP002222,MANDI033,WH-North,2026-05-02 10:12:36,2026-02-05 22:12:00,12.0,549.5,DL-55-BC-7556,DRV662,0,-1.74,0
TRP004565,MANDI054,WH-West,2026-05-09 10:36:00,2026-05-09 20:00:00,9.4,424.8,PB-83-DF-2210,DRV201,0,-1.22,0
TRP008152,MANDI019,WH-Central,2026-02-05 09:15:00,2026-02-05 18:45:00,9.5,553.3,PB-53-AB-4593,DRV920,0,-4.33,0
TRP000484,MANDI018,Export-Terminal,2026-08-02 03:53:48,2026-08-02 19:35:48,15.7,798.0,PB-65-AB-4841,,0,-4.25,0
TRP006460,MANDI011,WH-East,2026-07-13 10:12:45,2026-07-13 15:30:45,5.3,275.0,DL-48-CD-9566,DRV803,0,-1.58,0
TRP005643,MANDI009,WH-Central,2026-06-20 11:25:40,2026-06-21 00:31:00,13.1,716.3,HR-45-AB-2105,DRV326,0,-4.81,0
TRP005033,MANDI048,WH-East,2026-09-09 14:19:00,2026-10-09 00:00:00,13.5,716.4,,DRV415,0,-4.41,0
TRP005838,MANDI017,WH-Central,2026-06-26 06:21:28,2026-06-27 03:45:28,21.4,1000.8,HR-67-CD-5973,DRV626,0,-3.62,0
TRP003149,MANDI033,WH-North,2026-01-01 11:16:00,2026-01-01 18:58:00,7.7,,PB-62-CD-5129,DRV342,0,,0
TRP009930,MANDI048,WH-South,2026-09-02 05:25:00,,,486.0,UP-40-DF-1180,DRV783,0,,0
TRP008787,MANDI022,WH-South,2026-05-20 20:31:00,2026-05-21 01:13:44,4.7122222222222225,244.3,HR-57-BC-1128,DRV403,0,-1.4,0
TRP005653,MANDI032,WH-South,2026-09-06 00:00:00,2026-10-06 00:00:00,17.2,979.6972618756581,HR-49-CD-3613,DRV654,0,-7.29,0
TRP008175,MANDI047,WH-North,2026-01-12 19:55:00,2026-01-13 19:07:03,23.2,1013.8971662914461,HR-39-AB-7971,DRV497,0,-2.15,0
TRP005795,MANDI020,WH-South,2026-06-21 11:39:44,2026-06-22 11:15:44,23.6,1390.6,,DRV947,0,-11.16,0
TRP005283,MANDI039,WH-West,2026-08-07 22:27:00,2026-09-07 00:00:00,721.55,315.7,HR-39-CD-5921,DRV622,0,713.66,1
TRP004378,MANDI035,WH-East,2026-03-20 23:11:29,2026-03-21 05:11:29,6.0,334.09906623727403,HR-74-CD-9527,DRV270,0,-2.35,0
TRP007392,MANDI025,WH-Central,2026-05-14 00:00:00,2026-05-15 03:54:19,27.905277777777776,538.5,RJ-62-CD-6359,DRV958,0,14.45,1
TRP001559,MANDI041,WH-South,2026-05-27 20:11:00,2026-05-28 09:29:32,13.3,671.1,UP-60-CD-2446,DRV650,0,-3.48,0
TRP001433,MANDI029,WH-West,2026-06-21 01:20:44,2026-06-21 06:08:44,4.8,261.7,UP-39-BC-3131,DRV765,0,-1.74,0
TRP000040,MANDI006,WH-South,2026-01-24 07:05:00,2026-01-24 22:23:42,15.311666666666667,877.8,UP-24-BC-3811,DRV670,0,-6.63,0
TRP003996,MANDI008,WH-East,2026-08-20 20:06:00,2026-08-21 09:48:28,13.707777777777778,715.6,HR-93-DF-5165,,0,-4.18,0
TRP007461,MANDI004,WH-West,2026-08-06 00:00:00,2026-08-06 21:06:00,21.1,995.7,PB-71-BC-6631,,0,-3.79,0
TRP005973,MANDI048,Export-Terminal,2026-06-19 13:25:00,2026-06-20 02:49:57,13.4,643.49820150759,DL-70-CD-1378,DRV423,0,-2.69,0
TRP005174,MANDI054,WH-Central,2026-05-18 13:05:00,2026-05-19 03:29:00,14.4,835.5,HR-75-AB-3097,DRV499,0,-6.49,0
TRP000961,MANDI043,WH-North,2026-07-01 21:56:00,2026-01-08 18:02:05,20.1,1164.096746503474,DL-61-BC-2591,DRV807,0,-9.0,0
TRP000933,MANDI009,WH-North,2026-04-10 10:27:27,2026-04-10 20:33:27,10.1,585.5,,DRV613,0,-4.54,0
TRP007465,MANDI044,Export-Terminal,2026-02-07 19:51:11,2026-08-02 13:39:00,17.8,835.297665453442,RJ-45-AB-4860,DRV224,0,-3.08,0
TRP009213,MANDI039,WH-West,2026-05-06 23:18:42,2026-05-07 01:36:42,2.3,110.1,DL-75-CD-5891,,0,-0.45,0
TRP008147,MANDI019,WH-North,2026-05-28 13:14:44,2026-05-29 05:32:44,16.3,886.8975212386661,HR-30-BC-9997,DRV384,0,-5.87,0
TRP006177,MANDI036,WH-West,2026-04-01 18:01:00,2026-01-04 22:07:19,4.1,,PB-73-AB-4041,DRV497,0,,0
TRP007259,MANDI048,WH-North,2026-07-11 00:39:35,2026-07-11 12:51:35,12.2,620.1,DL-59-BC-5485,DRV350,0,-3.3,0
TRP000034,MANDI057,WH-West,2026-08-13 05:21:48,2026-08-13 14:15:48,8.9,437.5,DL-65-AB-3380,DRV761,0,-2.04,0
