sensor_id,timestamp,temperature_c,rainfall_mm,humidity_percent,is_fahrenheit_flag,is_negative_rainfall_anomaly,is_heatwave_flag,is_heavy_rain_flag
SEN047,2026-08-28 00:00:00,20.0,43.8,46.0,True,0,0,1
SEN034,2026-07-03 07:08:18,29.61,47.75,55.0,True,0,0,1
SEN020,2026-07-09 16:38:41,18.9,19.9,63.0,False,0,0,0
SEN035,2026-07-09 16:38:41,22.11,23.11,49.0,True,0,0,0
SEN048,2026-06-09 13:06:26,39.8,43.9,81.0,False,0,1,1
SEN035,2026-03-17 00:00:00,21.8,28.9,47.0,False,0,0,0
SEN013,2026-07-01 17:48:00,23.89,32.4,43.0,True,0,0,1
SEN040,2026-06-12 09:52:51,33.61,,92.0,True,0,0,0
SEN027,2026-06-02 21:30:04,22.1,48.1,36.0,False,1,0,1
SEN034,2026-07-03 07:08:18,30.3,,51.0,False,0,0,0
SEN031,2026-08-23 07:42:11,16.6,32.4,38.0,False,0,0,1
SEN045,2026-09-08 20:15:54,39.0,42.1,41.0,True,0,1,1
SEN011,2026-03-26 05:22:33,29.9,16.2,32.0,False,0,0,0
SEN004,2026-08-27 16:59:00,19.39,42.3,35.0,True,0,0,1
SEN020,2026-02-02 07:59:44,22.89,16.0,63.0,True,0,0,0
SEN026,2026-03-21 17:36:58,39.11,13.7,80.0,True,0,1,0
SEN020,2026-09-07 16:45:42,19.78,42.0,39.0,True,1,0,1
SEN047,2026-04-09 22:54:04,29.8,45.0,53.0,False,0,0,1
SEN035,2026-08-30 05:45:31,31.8,7.3,52.0,False,1,0,0
UNKNOWN,2026-07-28 05:02:48,29.1,34.3,75.0,False,0,0,1
SEN032,2026-02-07 14:24:43,31.3,6.2,38.0,False,0,0,0
SEN046,2026-02-22 21:45:12,30.0,1.6,86.0,False,0,0,0
SEN021,2026-03-10 23:45:39,24.6,15.9,80.0,False,1,0,0
SEN042,2026-04-02 05:04:58,36.61,5.84,63.0,True,0,1,0
SEN042,2026-04-02 05:04:58,15.72,,89.0,True,0,0,0
SEN043,2026-03-01 21:08:44,37.8,,44.0,False,0,1,0
SEN042,2026-07-07 09:27:47,33.4,19.81,38.0,False,0,0,0
SEN013,2026-05-23 18:27:41,28.3,12.4,56.0,False,0,0,0
SEN021,2026-02-26 00:53:43,28.4,32.5,78.0,False,0,0,1
SEN049,2026-04-24 18:47:44,33.6,7.2,80.0,False,0,0,0
SEN006,2026-01-02 09:31:50,21.7,7.2,82.0,False,0,0,0
SEN041,2026-05-05 08:58:20,28.22,26.3,33.0,True,1,0,0
SEN035,2026-05-05 08:58:20,37.6,28.4,48.0,False,0,1,0
SEN050,2026-02-09 18:25:06,20.5,21.5,40.0,True,0,0,0
SEN002,2026-07-06 09:59:39,35.11,40.2,73.0,True,1,1,1
SEN007,2026-08-20 02:38:23,23.1,46.74,62.0,False,0,0,1
SEN005,2026-05-13 09:02:20,33.0,40.13,80.0,True,0,0,1
SEN029,2026-05-13 09:02:20,28.0,17.02,94.0,True,0,0,0
SEN022,2026-06-08 02:36:11,21.39,14.48,60.0,True,0,0,0
SEN015,2026-02-21 12:03:50,25.78,14.9,87.0,True,0,0,0
SEN012,2026-03-15 12:51:07,15.5,32.51,94.0,True,0,0,1
SEN029,2026-01-31 20:48:03,21.89,,69.0,True,0,0,0
SEN043,2026-08-23 15:21:41,33.6,27.4,76.0,False,0,0,0
SEN023,2026-04-13 21:50:56,18.4,43.18,50.0,False,0,0,1
SEN038,2026-04-05 19:00:02,23.7,45.5,92.0,False,0,0,1
SEN010,2026-04-05 19:00:02,22.5,11.4,80.0,True,0,0,0
UNKNOWN,2026-04-05 19:00:02,30.9,25.65,62.0,False,0,0,0
SEN003,2026-01-06 20:19:00,26.61,29.4,47.0,True,0,0,0
SEN046,2026-05-19 11:48:45,29.3,15.0,36.0,False,1,0,0
SEN016,2026-04-13 08:56:28,26.7,5.2,89.0,False,0,0,0
SEN034,2026-04-13 08:56:28,39.9,27.43,59.0,False,0,1,0
SEN002,2026-07-06 09:59:39,22.7,48.77,57.0,False,0,0,1
SEN017,2026-05-30 20:03:23,19.6,2.7,77.0,False,1,0,0
UNKNOWN,2026-08-09 08:09:44,23.39,10.6,52.0,True,0,0,0
UNKNOWN,2026-01-16 04:29:54,23.1,25.15,59.0,False,0,0,0
SEN043,2026-08-12 16:58:44,38.72,1.78,44.0,True,0,1,0
SEN035,2026-06-25 06:49:35,38.6,3.7,32.0,False,0,1,0
SEN047,2026-08-18 07:10:40,21.5,19.2,84.0,False,0,0,0
SEN004,2026-08-27 16:59:00,38.6,4.3,85.0,False,0,1,0
SEN041,2026-06-19 03:04:08,35.6,43.18,37.0,False,0,1,1
SEN020,2026-05-15 01:02:31,31.2,33.02,94.0,False,0,0,1
SEN030,2026-05-22 15:40:01,19.8,19.7,72.0,False,1,0,0
SEN023,2026-01-13 17:04:32,35.8,28.0,58.0,False,0,1,0
SEN009,2026-07-16 03:33:55,24.8,0.8,81.0,False,0,0,0
SEN044,2026-07-30 10:15:00,17.28,16.4,82.0,True,0,0,0
SEN041,2026-07-30 10:15:00,29.39,49.78,91.0,True,0,0,1
SEN027,2026-05-27 13:43:39,23.0,17.8,55.0,False,0,0,0
SEN040,2026-05-01 03:10:00,28.0,18.29,72.0,False,0,0,0
UNKNOWN,2026-01-16 04:29:54,25.0,0.5,82.0,True,0,0,0
SEN002,2026-02-23 20:07:57,30.5,7.2,59.0,False,0,0,0
SEN015,2026-05-09 05:16:42,31.28,15.49,80.0,True,0,0,0
SEN001,2026-08-03 00:00:00,22.4,16.5,94.0,False,0,0,0
SEN007,2026-08-03 00:00:00,21.9,2.4,90.0,False,1,0,0
SEN023,2026-03-04 12:02:44,32.0,36.5,49.0,True,0,0,1
SEN001,2026-02-07 17:29:24,37.61,25.6,75.0,True,0,1,0
SEN031,2026-08-23 07:42:11,24.1,20.7,90.0,False,0,0,0
SEN004,2026-08-27 16:59:00,30.0,,63.0,True,0,0,0
SEN028,2026-06-11 12:01:26,38.72,39.12,58.0,True,0,1,1
UNKNOWN,2026-03-25 12:03:29,26.7,0.6,67.0,False,0,0,0
SEN010,2026-05-16 00:10:32,17.2,46.5,53.0,False,1,0,1
UNKNOWN,2026-04-04 19:31:23,37.89,18.6,62.0,True,0,1,0
SEN014,2026-02-08 01:10:37,35.22,41.3,39.0,True,0,1,1
SEN005,2026-03-01 07:48:00,24.9,12.19,68.0,False,0,0,0
SEN010,2026-08-06 02:21:52,22.1,26.0,50.0,False,0,0,0
SEN036,2026-06-18 08:04:30,18.72,3.7,60.5,True,0,0,0
SEN021,2026-02-05 00:04:04,21.5,12.7,93.0,True,0,0,0
SEN024,2026-03-18 13:40:34,21.4,41.4,69.0,False,0,0,1
SEN041,2026-01-11 14:28:24,30.5,17.7,92.0,False,0,0,0
SEN039,2026-06-18 13:58:41,18.7,49.3,94.0,False,0,0,1
SEN023,2026-05-06 04:21:38,33.8,14.9,68.0,False,1,0,0
SEN008,2026-03-14 07:34:35,16.8,,74.0,False,0,0,0
SEN029,2026-02-04 22:55:57,27.6,20.32,60.5,False,0,0,0
SEN041,2026-07-11 22:16:05,16.0,10.9,86.0,False,1,0,0
UNKNOWN,2026-01-10 16:49:33,16.2,8.89,39.0,False,0,0,0
SEN007,2026-02-04 02:57:50,34.4,24.5,65.0,False,0,0,0
SEN033,2026-06-22 19:55:54,18.2,19.81,78.0,False,0,0,0
SEN039,2026-04-23 18:07:38,24.78,9.8,87.0,True,1,0,0
SEN038,2026-08-22 20:12:32,39.5,19.05,56.0,True,0,1,0
SEN048,2026-02-25 21:02:00,28.11,,80.0,True,0,0,0
SEN020,2026-05-04 03:00:19,23.0,28.7,38.0,False,0,0,0
SEN011,2026-02-26 13:19:00,39.5,13.3,63.0,False,0,1,0
SEN024,2026-03-31 11:39:52,29.89,18.54,71.0,True,0,0,0
SEN014,2026-06-06 01:09:20,32.11,32.7,49.0,True,0,0,1
SEN009,2026-01-02 03:32:22,25.3,12.7,85.0,False,0,0,0
SEN008,2026-01-06 15:43:18,37.39,41.91,44.0,True,0,1,1
SEN035,2026-03-22 23:24:11,34.11,36.6,54.0,True,0,0,1
SEN034,2026-07-06 04:54:07,26.8,25.0,41.0,False,0,0,0
SEN035,2026-08-02 17:47:16,22.2,28.1,84.0,False,0,0,0
SEN030,2026-01-13 16:26:00,36.5,6.86,35.0,False,0,1,0
SEN035,2026-08-02 17:47:16,26.39,1.0,62.0,True,0,0,0
SEN044,2026-05-18 16:25:14,39.0,43.4,78.0,True,1,1,1
SEN035,2026-06-28 21:51:03,24.5,41.2,84.0,False,0,0,1
SEN008,2026-01-12 21:09:05,29.5,18.9,80.0,False,0,0,0
SEN007,2026-04-20 07:10:02,16.9,26.9,76.0,False,0,0,0
SEN040,2026-02-19 22:18:36,29.7,16.26,81.0,False,0,0,0
SEN047,2026-06-18 15:10:28,25.61,6.4,92.0,True,1,0,0
SEN024,2026-04-23 12:43:57,15.78,37.1,90.0,True,0,0,1
